SalesOrder ID,Order Date,Expected Shipment Date,SalesOrder Number,Status,Custom Status,Customer ID,Customer Name,Is Inclusive Tax,Sales Order Level Tax,Sales Order Level Tax %,SalesOrder Level Tax Type,Sales Order Level Tax Exemption Reason,Sales Order Level Tax Authority,Reference#,Template Name,Currency Code,Exchange Rate,Discount Type,Is Discount Before Tax,Entity Discount Amount,Entity Discount Percent,Item Name,Product ID,SKU,UPC,MPN,EAN,ISBN,Kit Combo Item Name,Account,Account Code,Item Desc,QuantityOrdered,QuantityInvoiced,QuantityCancelled,QuantityPacked,Usage unit,Item Price,Discount,Discount Amount,Tax ID,Item Tax,Item Tax %,Item Tax Amount,Item Tax Type,Item Tax Authority,Item Tax Exemption Reason,Project ID,Project Name,Item Total,SubTotal,Total,Shipping Charge,Shipping Charge Tax ID,Shipping Charge Tax Amount,Shipping Charge Tax Name,Shipping Charge Tax %,Shipping Charge Tax Type,Shipping Charge Tax Exemption Code,Adjustment,Adjustment Description,Sales person,Payment Terms,Payment Terms Label,Notes,Terms & Conditions,Delivery Method,Source,Billing Address,Billing Street2,Billing City,Billing State,Billing Country,Billing Code,Billing Fax,Billing Phone,Shipping Address,Shipping Street2,Shipping City,Shipping State,Shipping Country,Shipping Code,Shipping Fax,Shipping Phone,LINEITEM.TAG.Inventory Type,LINEITEM.TAG.Trade Shows 2025
6212012000012256741,2026-01-02,2026-01-05,SO-2600001,invoiced,,6212012000000292343,Corbett Inc.,false,MA STATE TAX MASSACHUSETTS - 6.25,6.25,ItemAmount,,MASSACHUSETTS,CC,Standard Template,USD,1.00,entity_level,true,0.000,0.00,Chain Tensioning Block Assembly,6212012000000434072,GR8,,,,,,GeoRipper - Parts,4100,,2.00,2.00,0.00,2.00,Kit,47.24,0.00,0.0,6212012000000553610,MA STATE TAX MASSACHUSETTS - 6.25,6.25,5.91,ItemAmount,MASSACHUSETTS,,,,94.48,94.48,126.95,25.00,6212012000000553610,1.56,MA STATE TAX MASSACHUSETTS - 6.25,6.25,ItemAmount,,0.00,Adjustment,JJ Harris,0,Due on Receipt,,,,1,45 Knox Trail,,Acton,MA,U.S.A,01720,,978-235-2133,45 Knox Trail,,Acton,MA,U.S.A,01720,,978-235-2133,,
6212012000012256783,2026-01-02,2026-01-30,SO-2600002,invoiced,,6212012000000290673,Acme Tools,false,,,,RESALE,NORTH DAKOTA,1280586,Standard Template,USD,1.00,entity_level,true,0.000,0.00,The GeoRipper 27,6212012000000445964,GR727-NOEZ,,,,,,GeoRipper - Units,4000,,2.00,2.00,0.00,2.00,Kit,1819.99,0.00,0.0,,,,,,,RESALE,,,3639.98,9789.98,9789.98,0.00,,,,,,,0.00,Adjustment,JJ Harris,30,Net 30,,,UPS,1,PO Box 13720,,Grand Forks,ND,U.S.A,58208,,701-335-4800,1851 S 48th St,,Grand Forks,ND,U.S.A,58201,,877-345-2263,,
6212012000012256783,2026-01-02,2026-01-30,SO-2600002,invoiced,,6212012000000290673,Acme Tools,false,,,,RESALE,NORTH DAKOTA,1280586,Standard Template,USD,1.00,entity_level,true,0.000,0.00,"SiBore Drill - SB215 Gas Powered 1"" MicroBore",6212012000000438209,SB215,,,,,,SiBore Drill - Units,4200,,2.00,2.00,0.00,2.00,EA,3075.00,0.00,0.0,,,,,,,RESALE,,,6150.00,9789.98,9789.98,0.00,,,,,,,0.00,Adjustment,JJ Harris,30,Net 30,,,UPS,1,PO Box 13720,,Grand Forks,ND,U.S.A,58208,,701-335-4800,1851 S 48th St,,Grand Forks,ND,U.S.A,58201,,877-345-2263,,
6212012000012256783,2026-01-02,2026-01-30,SO-2600002,invoiced,,6212012000000290673,Acme Tools,false,,,,RESALE,NORTH DAKOTA,1280586,Standard Template,USD,1.00,entity_level,true,0.000,0.00,SiBore Drill - General Epic 242SBD Auger,6212012000000429754,SB242SBD,,,,,,SiBore Drill - Parts,4300,For Shipping Powerheads,2.00,2.00,0.00,2.00,EA,0.00,0.00,0.0,,,,,,,RESALE,,,0.00,9789.98,9789.98,0.00,,,,,,,0.00,Adjustment,JJ Harris,30,Net 30,,,UPS,1,PO Box 13720,,Grand Forks,ND,U.S.A,58208,,701-335-4800,1851 S 48th St,,Grand Forks,ND,U.S.A,58201,,877-345-2263,,
6212012000012256833,2026-01-02,2026-01-30,SO-2600003,invoiced,,6212012000003220507,Horizon Distributors,false,,,,RESALE,TEXAS,3B115844,Standard Template,USD,1.00,entity_level,true,0.000,0.00,EZ Kart - Pull Strap Assembly,6212012000000428731,EZ6000,810075760620,,810075760620,,,GeoRipper - Parts,4100,"Includes nylon straps, metal tabs, D-slide & buckle",1.00,1.00,0.00,1.00,Kit,17.50,0.00,0.0,,,,,,,RESALE,,,17.50,17.50,42.50,25.00,,,,,,,0.00,Adjustment,Mark Coker,30,Net 30,,,UPS,1,109 Northpark Blvd,,Covington,LA,USA,70433,,361-806-2872,8950 Alpha Ave,,Frisco,TX,U.S.A,75034,,'+972-712-5000,,
6212012000012257409,2026-01-02,2026-01-05,SO-2600004,invoiced,,6212012000000347173,Drain Clean Heroes,false,SALES TAX (FL) 7.0,7.00,ItemAmount,,FL,WAR12917 Repair Complete,Standard Template,USD,1.00,entity_level,true,0.000,0.00,Intake elbow,6212012000000432331,MT7208-85,,,,,,GeoRipper - Parts,4100,,1.00,1.00,0.00,1.00,ea,0.00,0.00,0.0,6212012000000692144,SALES TAX (FL) 7.0,7.00,0.00,ItemAmount,FL,,,,0.00,0.00,0.00,0.00,,,,,,,0.00,Adjustment,Simon Dirazonian,0,Due on Receipt,,,UPS,1,24605 53rd Ave E,,Myakka City,FL,U.S.A,34251,,941-720-7487,24605 53rd Ave E,,Myakka City,FL,U.S.A,34251,,941-720-7487,,
6212012000012257409,2026-01-02,2026-01-05,SO-2600004,invoiced,,6212012000000347173,Drain Clean Heroes,false,SALES TAX (FL) 7.0,7.00,ItemAmount,,FL,WAR12917 Repair Complete,Standard Template,USD,1.00,entity_level,true,0.000,0.00,Pull Start Ass'y MT7208,6212012000000434748,MT7208-25-36,,,,,,GeoRipper - Parts,4100,"ATTENTION!!!
The GeoRipper handheld trenchers are equipped with the GeoRipper EZ start system. Please follow these instructions EVERY TIME you start your GeoRipper handheld trencher.
1. Turn engine ""on""
2. Pull choke out all the way on initial ""cold"" start.
3. Press decompression button on opposite side of engine.
4. Gently pull the starter pull string up, releasing before you get to the end of the pull rope.
5. Repeat 3-5 if necessary.",1.00,1.00,0.00,1.00,ea,0.00,0.00,0.0,6212012000000692144,SALES TAX (FL) 7.0,7.00,0.00,ItemAmount,FL,,,,0.00,0.00,0.00,0.00,,,,,,,0.00,Adjustment,Simon Dirazonian,0,Due on Receipt,,,UPS,1,24605 53rd Ave E,,Myakka City,FL,U.S.A,34251,,941-720-7487,24605 53rd Ave E,,Myakka City,FL,U.S.A,34251,,941-720-7487,,
6212012000012362035,2026-01-05,2026-01-06,SO-2600006,invoiced,,6212012000012362001,Taylor Goodwin,false,SALES TAX (TX) 8.25,8.25,ItemAmount,,TEXAS,Shopify #3665 Affirm/DFP200006,Standard Template,USD,1.00,entity_level,true,0.000,0.00,The GeoRipper 27 Includes EZ Kart,6212012000000445997,GR727,,,,,,GeoRipper - Units,4000,1ZY2K5950318178165,1.00,1.00,0.00,0.00,Kit,2799.99,0.00,0.0,6212012000002073307,SALES TAX (TX) 8.25,8.25,231.00,ItemAmount,TEXAS,,,,2799.99,2799.99,3206.12,161.78,6212012000002073307,13.35,SALES TAX (TX) 8.25,8.25,ItemAmount,,0.00,Adjustment,Phil Heck,0,Due on Receipt,"DFP fulfilled by Rio Seco AG, LLC",,UPS,1,10013 Cade Trail,,Fort Worth,TX,U.S.A,76244,,'+1-817-789-2104,10013 Cade Trail,,Fort Worth,TX,U.S.A,76244,,'+1-817-789-2104,,
6212012000012368001,2026-01-05,2026-01-06,SO-2600007,invoiced,,6212012000000342479,Great Northern Equipment,false,,,,RESALE,MINNESOTA,PO.125066,Standard Template,USD,1.00,entity_level,true,0.000,0.00,GeoRipper(R) 27-Inch R.I.P. Kit,6212012000000437704,MTRIP700,,,,,,GeoRipper - Parts,4100,,5.00,5.00,0.00,5.00,Kit,147.00,0.00,0.0,,,,,,,RESALE,,,735.00,2010.00,2010.00,0.00,,,,,,,0.00,Adjustment,Mark Coker,30,Net 30,,,FedEx Ground,1,"20195 S. Diamond Lake Rd, STE 100",,Rogers,MN,U.S.A,55374,,763-428-9411,20195 S Diamond Lake Rd Dock 14-15,,Rogers,MN,U.S.A,55374,,763-428-9411,,
6212012000012368001,2026-01-05,2026-01-06,SO-2600007,invoiced,,6212012000000342479,Great Northern Equipment,false,,,,RESALE,MINNESOTA,PO.125066,Standard Template,USD,1.00,entity_level,true,0.000,0.00,GeoRipper 27-Inch Size Matters Trencher Conversion Kit,6212012000000437746,MTSMK27,,,,,,GeoRipper - Parts,4100,'***FedEx Ground using acct# 977269830***,5.00,5.00,0.00,5.00,Kit,255.00,0.00,0.0,,,,,,,RESALE,,,1275.00,2010.00,2010.00,0.00,,,,,,,0.00,Adjustment,Mark Coker,30,Net 30,,,FedEx Ground,1,"20195 S. Diamond Lake Rd, STE 100",,Rogers,MN,U.S.A,55374,,763-428-9411,20195 S Diamond Lake Rd Dock 14-15,,Rogers,MN,U.S.A,55374,,763-428-9411,,
