Purchase Order ID,Purchase Order Date,Delivery Date,Purchase Order Number,Reference#,Purchase Order Status,Vendor Name,Is Inclusive Tax,Currency Code,Exchange Rate,Template Name,Reference No,Delivery Instructions,Terms & Conditions,Shipment preference,Expected Arrival Date,Account,Account Code,Item Price,Item Name,Product ID,SKU,UPC,MPN,EAN,ISBN,Item Desc,QuantityOrdered,QuantityCancelled,QuantityReceived,QuantityBilled,Usage unit,Discount Type,Is Discount Before Tax,Discount,Discount Amount,Tax ID,Item Tax,Item Tax %,Item Tax Amount,Item Tax Type,Item Tax Authority,Item Total,Total,Adjustment,Adjustment Description,Entity Discount Percent,Entity Discount Amount,Discount Account,Discount Account Code,Project ID,Project Name,Payment Terms,Payment Terms Label,Attention,Address,City,State,Country,Code,Phone,Deliver To Customer,Recipient Address,Recipient City,Recipient State,Recipient Country,Recipient Postal Code,Recipient Phone,Submitted By,Approved By,Submitted Date,Approved Date,LINEITEM.TAG.Inventory Type,LINEITEM.TAG.Trade Shows 2025
6212012000001806158,2025-01-09,2025-04-25,TT-00790,GR Adapter,Billed,Ordinance Engineering Pte Ltd,false,USD,1.000000000000,Standard Template,GR Adapter,,,Ocean Freight,,Finished Goods,1210,50.00,GeoRipper Adapter,6212012000000431135,GR-1000,,,,,Version: 24A,500.00,0.00,500.00,500.00,EA,entity_level,true,0.00,0.0,,,,,,,25000.00,25000.00,0.00,Adjustment,0.00,0.000,,,,,0,Due on Receipt,JJ Harris,815 NE 172nd Avenue,Vancouver,Washington,U.S.A,98684,877-694-0141,,,,,,,,,,,,,
6212012000001808195,2025-01-08,2025-03-26,TT-00799,EZ Kart Straps,Billed,Maijie Industrial Co. Ltd Shanghai,false,USD,1.000000000000,Standard Template,EZ Kart Straps,,,,,Inventory Asset,,9.30,EZ Kart - Pull Strap Assembly,6212012000000428731,EZ6000,810075760620,,810075760620,,,1000.00,0.00,1000.00,1000.00,Kit,entity_level,true,0.00,0.0,,,,,,,9300.00,9300.00,0.00,Adjustment,0.00,0.000,,,,,0,Due on Receipt,MiniTrencher,,,,,,,,,,,,,,,,,,,
6212012000001808209,2025-01-15,2025-01-31,TT-00800,"16"" Bar Box Stickers",Billed,Minuteman Press,false,USD,1.000000000000,Standard Template,"16"" Bar Box Stickers",,,,,Inventory Asset,,0.8561,"Sticker - 16"" Bar Box 400MM",6212012000000432942,GRS15,,,,,400MM Labels - Brown (Job ID 17520),150.00,0.00,150.00,150.00,EA,entity_level,true,0.00,0.0,,,,,,,128.42,255.80,0.00,Adjustment,0.00,0.000,,,,,0,Due on Receipt,MiniTrencher,,,,,,,,,,,,,,,,,,,
6212012000001808209,2025-01-15,2025-01-31,TT-00800,"16"" Bar Box Stickers",Billed,Minuteman Press,false,USD,1.000000000000,Standard Template,"16"" Bar Box Stickers",,,,,Inventory Asset,,0.8492,"Sticker - 16"" Bar Box SKU Label",6212012000000432955,GRS16,,,,,SKU Labels - Brown (Job ID 17517),150.00,0.00,150.00,150.00,EA,entity_level,true,0.00,0.0,,,,,,,127.38,255.80,0.00,Adjustment,0.00,0.000,,,,,0,Due on Receipt,MiniTrencher,,,,,,,,,,,,,,,,,,,
6212012000001808239,2025-01-15,2025-01-29,TT-00801,SiBore Motor Mount,Billed,Accurate Machine and Mfg Inc,false,USD,1.000000000000,Standard Template,SiBore Motor Mount,,,,,Work In Progress,,14.45,SiBore Motor Mount,6212012000000430366,SB0300,,,,,"As PER Redlined Drawings Dated 1/14/2025
Material to be .187 Mild Steel
2 Each 3/8-16 PEM Nut Inserts installed",33.00,0.00,33.00,33.00,EA,entity_level,true,0.00,0.0,,,,,,,476.85,476.85,0.00,Adjustment,0.00,0.000,,,,,30,Net 30,MiniTrencher,,,,,,,,,,,,,,,,,,,
6212012000001808253,2025-01-17,,TT-00803,SiBore Bearing Tube & Main Shaft,Billed,Industrial Tube and Steel Corp,false,USD,1.000000000000,Standard Template,SiBore Bearing Tube & Main Shaft,,,,,Inventory Asset,,223.68,"SiBore Drill 1""D x 20' CRS Round Stock Main Shaft",6212012000000430066,SB0107,,,,,"4140 CF ANN BAR
1.000 DIA X 15""",2.00,0.00,2.00,2.00,EA,entity_level,true,0.00,0.0,,,,,,,447.36,447.36,0.00,Adjustment,0.00,0.000,,,,,30,Net 30,MiniTrencher,,,,,,,,,,,,,,,,,,,
6212012000001808267,2025-01-27,2025-04-15,TT-00804,SiBore Parts / GeoRipper Parts,Partially Billed,Ordinance Engineering Pte Ltd,false,USD,1.000000000000,Standard Template,SiBore Parts / GeoRipper Parts,'*** Ocean vessel ETD Last week of February / 1st week of March,,,,Finished Goods,1210,250.00,SiBore Drill - Lower Unit,6212012000000435846,SB0250,,,,,"Includes universal joint, fully assembled",40.00,0.00,40.00,40.00,Unit,entity_level,true,0.00,0.0,,,,,,,10000.00,37000.00,0.00,Adjustment,0.00,0.000,,,,,0,Due on Receipt,MiniTrencher,,,,,,,,,,,,,,,,,,,
6212012000001808267,2025-01-27,2025-04-15,TT-00804,SiBore Parts / GeoRipper Parts,Partially Billed,Ordinance Engineering Pte Ltd,false,USD,1.000000000000,Standard Template,SiBore Parts / GeoRipper Parts,'*** Ocean vessel ETD Last week of February / 1st week of March,,,,Finished Goods,1210,9.50,SiBore Motor Mount,6212012000000430366,SB0300,,,,,"As PER Redlined Drawings Dated 1/14/2025
Material to be .187 Mild Steel
2 Each 3/8-16 PEM Nut Inserts installed",40.00,0.00,40.00,0.00,EA,entity_level,true,0.00,0.0,,,,,,,380.00,37000.00,0.00,Adjustment,0.00,0.000,,,,,0,Due on Receipt,MiniTrencher,,,,,,,,,,,,,,,,,,,
6212012000001808267,2025-01-27,2025-04-15,TT-00804,SiBore Parts / GeoRipper Parts,Partially Billed,Ordinance Engineering Pte Ltd,false,USD,1.000000000000,Standard Template,SiBore Parts / GeoRipper Parts,'*** Ocean vessel ETD Last week of February / 1st week of March,,,,Finished Goods,1210,4.50,SiBore Drill - Swivel Cable Puller,6212012000000429884,SB1500,,,,,,100.00,0.00,100.00,25.00,EA,entity_level,true,0.00,0.0,,,,,,,450.00,37000.00,0.00,Adjustment,0.00,0.000,,,,,0,Due on Receipt,MiniTrencher,,,,,,,,,,,,,,,,,,,
6212012000001808267,2025-01-27,2025-04-15,TT-00804,SiBore Parts / GeoRipper Parts,Partially Billed,Ordinance Engineering Pte Ltd,false,USD,1.000000000000,Standard Template,SiBore Parts / GeoRipper Parts,'*** Ocean vessel ETD Last week of February / 1st week of March,,,,Inventory Asset,,5.47,SiBore Drill - MicroBore Coupler Nut,6212012000000432825,SB1250,,,,,In boxes assembled as set of 9,1000.00,0.00,1000.00,1000.00,EA,entity_level,true,0.00,0.0,,,,,,,5470.00,37000.00,0.00,Adjustment,0.00,0.000,,,,,0,Due on Receipt,MiniTrencher,,,,,,,,,,,,,,,,,,,
6212012000001808267,2025-01-27,2025-04-15,TT-00804,SiBore Parts / GeoRipper Parts,Partially Billed,Ordinance Engineering Pte Ltd,false,USD,1.000000000000,Standard Template,SiBore Parts / GeoRipper Parts,'*** Ocean vessel ETD Last week of February / 1st week of March,,,,Finished Goods,1210,4.50,"SiBore Drill - 1"" Bore Head",6212012000000429871,SB1000,,,,,,100.00,0.00,100.00,50.00,EA,entity_level,true,0.00,0.0,,,,,,,450.00,37000.00,0.00,Adjustment,0.00,0.000,,,,,0,Due on Receipt,MiniTrencher,,,,,,,,,,,,,,,,,,,
